                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.88052,                0.33824,                 1.0469,                0.86387,                0.86884,                0.91072,                0.63253,                 1.1786,                0.86867,                  1.347,              0.0007922,              0.0007922,              0.0007922
                     63,                0.87334,                0.33732,                 1.0373,                0.88007,                0.84163,                0.90754,                0.63502,                  1.176,                0.85632,                 1.3334,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.8669,                0.33568,                  1.037,                0.85206,                 0.8708,                0.90209,                0.63666,                 1.1501,                0.85968,                 1.3199,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.8717,                0.33737,                 1.0413,                0.85881,                0.89304,                0.91111,                0.64075,                 1.1699,                0.80583,                 1.3592,              0.0007328,              0.0007328,              0.0007328
                     66,                0.87041,                0.33428,                 1.0354,                 0.8573,                0.86469,                 0.9122,                0.64286,                 1.1565,                0.86386,                 1.3339,               0.000713,               0.000713,               0.000713
                     67,                 0.8672,                0.33558,                 1.0356,                0.84955,                0.89081,                0.92681,                0.64902,                 1.1447,                0.78652,                 1.3348,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86378,                0.33403,                   1.04,                0.87363,                0.87782,                0.92217,                0.64858,                 1.1551,                0.87424,                 1.3399,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.8662,                0.33706,                 1.0397,                 0.8522,                0.87851,                0.90936,                0.64327,                 1.1534,                0.93109,                 1.3204,              0.0006536,              0.0006536,              0.0006536
                     70,                0.86903,                0.33403,                 1.0305,                0.86868,                 0.8699,                0.91021,                0.63985,                 1.1622,                0.84426,                 1.3277,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86004,                0.33216,                 1.0348,                0.89541,                0.82416,                0.90224,                0.63262,                 1.1616,                0.93374,                 1.3358,               0.000614,               0.000614,               0.000614
                     72,                0.85678,                0.32943,                 1.0259,                0.87357,                0.86124,                 0.9068,                0.63713,                 1.1621,                0.83737,                 1.3325,              0.0005942,              0.0005942,              0.0005942
